Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
SVM,46,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,47,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,48,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,49,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,50,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
DecisionTree,1,0.8262910798122066,0.8740157480314961,0.8409090909090909,0.8571428571428571,0.8496071829405162,0.6365679197808541,0.8024691358024691,0.8692160094415405,65,16,21,111
DecisionTree,2,0.7887323943661971,0.8320610687022901,0.8257575757575758,0.8288973384030418,0.8263187429854096,0.5528614463995012,0.7283950617283951,0.8745199451758172,59,22,23,109
DecisionTree,3,0.7981220657276995,0.7908496732026143,0.9166666666666666,0.8491228070175438,0.8896371118593341,0.5629240827647257,0.6049382716049383,0.9369041797379021,49,32,11,121
DecisionTree,4,0.7981220657276995,0.8201438848920863,0.8636363636363636,0.8413284132841329,0.8516180321735877,0.5658415137984928,0.691358024691358,0.8846641184032267,56,25,18,114
DecisionTree,5,0.8028169014084507,0.835820895522388,0.8484848484848485,0.8421052631578947,0.8725682753460531,0.5797609302754708,0.7283950617283951,0.9226083525231603,59,22,20,112
DecisionTree,6,0.7981220657276995,0.8739495798319328,0.7878787878787878,0.8286852589641435,0.8648054620276843,0.589235154117292,0.8148148148148148,0.9122983784992333,66,15,28,104
DecisionTree,7,0.812206572769953,0.8770491803278688,0.8106060606060606,0.84251968503937,0.8480639730639732,0.6137637528633433,0.8148148148148148,0.8976971491667552,66,15,25,107
DecisionTree,8,0.7370892018779343,0.8518518518518519,0.696969696969697,0.7666666666666667,0.7954077815188926,0.48495925818470803,0.8024691358024691,0.8528063926864218,65,16,40,92
